,Station 72353013967,Station 99999903948,Station 72354099999,Station 72357003948,Station 72354013919,Station 72354403954,Station 99999903954,Station 72354499999,Station 72357099999
AI1,0.0007017437268363813,0.0,0.0,0.0,0.0,0.0010260263066416981,0.005427738172391445,0.0,0.0
AI2,0.0007017437268363813,0.0,0.0,0.0,0.0,0.0010260263066416981,0.005427738172391445,0.0,0.0
AI3,0.0007017437268363813,0.0,0.0,0.0,0.0,0.0010260263066416981,0.005427738172391445,0.0,0.0
AI4,0.0007017437268363813,0.0,0.0,0.0,0.0,0.0010260263066416981,0.005346727154893065,0.0,0.0
AI5,0.0007017437268363813,0.0,0.0,0.0,0.0,0.0010260263066416981,0.005346727154893065,0.0,0.0
AI6,0.0007017437268363813,0.0,0.0,0.0,0.0,0.0010260263066416981,0.005346727154893065,0.0,0.0
AJ1,0.02424205601798408,0.0,0.001173479366321142,0.0,0.0006337555217132209,0.018474080220679756,0.0,9.877128521196317e-06,0.0
AK1,0.0005923810681086335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AL1,0.00413451607023513,0.0,0.0,0.0,0.0,0.018076004440507294,0.0,0.0,0.0
AM1,0.0005984567713712862,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AN1,0.022422382890819614,0.0,0.0,0.0,0.0,0.017907803406631607,0.0,0.0,0.0
AT1,0.010322619843246856,0.019088016967126194,0.0,0.006440874802987367,0.012481200162695447,0.014055999730878345,0.011665586519766688,0.0,0.0
AT2,0.007451850051643478,0.009779663014021445,0.0,0.004000460253621153,0.008584076656041014,0.009323943977842317,0.006885936487362281,0.0,0.0
AT3,0.004544626040464184,0.003416990691646047,0.0,0.0018811528818031239,0.005874062372894182,0.004928290292557665,0.0032404406999351912,0.0,0.0
AT4,0.0019411871924175223,0.0010604453870625664,0.0,0.0006127795304877886,0.003164048089747349,0.0016203366263357966,0.0008101101749837978,0.0,0.0
AT5,0.00047086700285558055,0.0005891363261458702,0.0,0.00016590537506656284,0.0010452236589449388,0.0004485360903351686,0.00016202203499675956,0.0,0.0
AT6,0.00017619539461692692,0.0,0.0,4.013839719352327e-05,0.00037363198668167503,0.00021866134403839468,0.0,0.0,0.0
AT7,8.505984567713712e-05,0.0,0.0,8.027679438704654e-06,0.00012769700810639524,9.531391919622333e-05,0.0,0.0,0.0
AT8,2.7340664681936934e-05,0.0,0.0,2.6758931462348843e-06,5.202470700630918e-05,1.6820103387568822e-05,0.0,0.0,0.0
AU1,0.09536423841059603,0.09343702132673501,0.0,0.07434969106813627,0.20343079295112515,0.18643402594781283,0.11689889825016202,0.0,0.0
AU2,0.03994471110030986,0.009190526687875575,0.0,0.010248670750079607,0.07676481994721857,0.06780183675528992,0.03596889176928062,0.0,0.0
AU3,0.008800656175952366,0.0,0.0,0.0005512339881243862,0.016241167623605973,0.016696755962726652,0.008344134802333118,0.0,0.0
AU4,0.0002916337566073273,0.0,0.0,2.6758931462348843e-06,0.0001418855645626614,8.970721806703372e-05,8.101101749837978e-05,0.0,0.0
AU5,3.037851631326326e-06,0.0,0.0,2.6758931462348843e-06,1.418855645626614e-05,0.0,0.0,0.0,0.0
AW1,0.0956376450574154,0.0767055496641923,3.911597887737141e-05,0.08060057745774096,0.2111304495880589,0.17697552114286996,0.10733959818535321,0.005225000987712852,0.02112709671876044
AW2,0.04161856734917067,0.005655708731000354,0.0,0.010056006443550695,0.08264834135775026,0.067005685194945,0.031594296824368116,0.0010963612658527913,0.0
AW3,0.011000060757032627,0.0,0.0,0.004276077247683346,0.023723266394876985,0.01988136220410635,0.00737200259235256,0.0,0.0
AW4,0.004353241387690625,0.0,0.0,0.00030237592552454195,0.009411742449323206,0.007911055293286536,0.0,0.0,0.0
AW5,0.0001518925815663163,0.0,0.0,0.0,2.837711291253228e-05,5.046031016270647e-05,0.0,0.0,0.0
AW6,1.8227109787957957e-05,0.0,0.0,0.0,0.0,5.606701129189608e-06,0.0,0.0,0.0
AW7,3.037851631326326e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AX1,0.00702047511999514,0.0,0.0,0.0,0.0,0.013467296112313436,0.01101749837977965,0.0,0.0
AX2,0.00348137796949997,0.0,0.0,0.0,0.0,0.00714293723858756,0.004374594944912508,0.0,0.0
AX3,0.0007837657208821921,0.0,0.0,0.0,0.0,0.0014521355924601083,0.0008101101749837978,0.0,0.0
AX4,0.00011543836199040038,0.0,0.0,0.0,0.0,0.00014016752822974018,8.101101749837978e-05,0.0,0.0
AX5,2.7340664681936934e-05,0.0,0.0,0.0,0.0,5.606701129189608e-06,0.0,0.0,0.0
AX6,6.075703262652652e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CALL_SIGN.1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
CIG,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
DEW,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ED1,0.012522024424327117,0.0,0.002307842753764913,0.0,0.0771857471220878,0.0,0.0,0.0,0.0
EQD,0.3652864694088341,0.9222340049487452,0.9508507725405828,0.5515872060196892,0.33753629905693394,0.3340977135872795,0.12556707712248866,0.5449211805144009,0.9336019170000095
GA1,0.5414666747676044,0.9042064333686816,0.047858400156463914,0.6167853425277022,0.7940814801502095,0.7088440103611837,0.8207226182760855,0.03367113112875825,0.0022721414455783937
GA2,0.22253174554954736,0.07034287734181689,7.823195775474281e-05,0.10125579665352803,0.18036965919087392,0.15803047802733827,0.12273169151004537,0.01244518193670736,0.000668276895758351
GA3,0.08825870344492374,0.026511134676564158,0.0,0.04303103768460318,0.052833454724316345,0.0622568093385214,0.04001944264419961,0.004108885464817668,0.00020048306872750532
GA4,0.0026702715839358408,0.0,0.0,0.0,0.004838297751586754,5.606701129189608e-06,0.0,9.877128521196317e-06,0.0
GA5,8.505984567713712e-05,0.0,0.0,0.0,0.0004351157313254949,0.0,0.0,0.0,0.0
GA6,0.0,0.0,0.0,0.0,2.837711291253228e-05,0.0,0.0,0.0,0.0
GD1,0.6314934078619601,0.9042064333686816,0.7862116174457265,0.6510126917611926,0.8015541198838431,0.7092308727390978,0.8207226182760855,0.25630160799652324,0.29050951339895176
GD2,0.2882647791481864,0.07034287734181689,0.42609035791120675,0.11299226399291423,0.18301346021055817,0.158170645555568,0.12273169151004537,0.08599028090553515,0.07989727629430915
GD3,0.11257366790205967,0.026511134676564158,0.14684138470565225,0.04850591506179975,0.05376989945042991,0.06229605624642573,0.03993843162670123,0.02889060092449923,0.02792442742990253
GD4,0.014803450999453186,0.0,0.021944064150205358,2.6758931462348843e-06,0.009686054540811019,5.606701129189608e-06,0.0,1.9754257042392634e-05,0.0
GE1,0.26694817425116957,0.0,0.0,0.14883852857987676,0.2480490734872634,0.1980959642965272,0.0,0.0,0.0
GF1,0.8441946655325354,0.0,0.9620575004889498,0.9634472996224315,0.9606078377585865,0.9306787472386997,0.0,0.5756489273438427,0.9564569868349452
GJ1,0.0017923324624825323,0.0,0.0,0.0,0.0,0.0,0.06416072585871678,0.0,0.0
GK1,0.0017923324624825323,0.0,0.0,0.0,0.0,0.0,0.06416072585871678,0.0,0.0
GP1,0.13320371833039674,0.0,0.8574418149814199,0.0,0.0,0.0,0.0,0.43309233139741615,0.0
GQ1,0.07277173582842214,0.0,0.4685507529825934,0.0,0.0,0.0,0.0,0.2366066137252578,0.0
GR1,0.13320371833039674,0.0,0.8574418149814199,0.0,0.0,0.0,0.0,0.43309233139741615,0.0
HL1,2.126496141928428e-05,0.0,0.0,0.0,1.418855645626614e-05,0.0,0.0,0.0,0.0
IA1,1.8227109787957957e-05,0.0,3.911597887737141e-05,0.0,0.0,0.0,0.0,3.950851408478527e-05,0.0
KA1,0.21513761467889908,0.0,0.00023469587326422844,0.008592292892560215,0.10098941533688363,0.16127115128000988,0.1710142579390797,0.08321480779107898,0.0003054980094895319
KA2,0.2138951333616866,0.0,5.867396831605711e-05,0.008495960739295759,0.10032728270225787,0.16072730127047846,0.1710142579390797,0.08304689660621864,2.8640438389643618e-05
KA3,0.009468983534844159,0.0,0.0,0.0002729411009159582,0.014642590262866656,0.01729106628242075,0.0,0.0,0.0
KA4,0.009341393766328452,0.0,0.0,0.0002729411009159582,0.014462868547753952,0.017100438444028303,0.0,0.0,0.0
KB1,0.0007928792757761711,0.0,0.0,0.0,0.0,0.001014812904383319,0.005589760207388205,0.0,0.0
KB2,0.0007928792757761711,0.0,0.0,0.0,0.0,0.001014812904383319,0.005589760207388205,0.0,0.0
KB3,0.0007928792757761711,0.0,0.0,0.0,0.0,0.001014812904383319,0.005589760207388205,0.0,0.0
KC1,0.0006197217327905705,0.0,0.0,0.0,0.0,0.001014812904383319,0.0009721322099805574,0.0,0.0
KC2,0.0006166838811592442,0.0,0.0,0.0,0.0,0.001014812904383319,0.0009721322099805574,0.0,0.0
KD1,0.0007746521659882131,0.0,0.0,0.0,0.0,0.001014812904383319,0.005589760207388205,0.0,0.0
KD2,0.0007746521659882131,0.0,0.0,0.0,0.0,0.001014812904383319,0.005589760207388205,0.0,0.0
KE1,0.0007898414241448448,0.0,0.0,0.0,0.0,0.0009643525942206125,0.005184705119896306,0.0,0.0
KG1,0.01746460902849505,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KG2,0.01746460902849505,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MA1,0.8727504708670029,0.9175209143395782,0.95818501858009,0.992777764398312,0.9861708869739593,0.9652216328956369,0.8191023979261179,0.5752933507170795,0.9857179680563644
MD1,0.3683152074852664,0.0,0.26892235478192844,5.351786292469769e-06,0.2289370879406729,0.26058264838134537,0.23250162022034998,0.17310655446248666,0.01628686263091067
MF1,0.017333981408348017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MG1,0.024190412540251532,0.047837869683044654,0.0,0.0,0.0,0.03273752789333812,0.1690699935191186,0.0,0.0
MH1,0.0007868035725135185,0.0011782726522917403,0.0,0.0,0.0,0.0010260263066416981,0.005022683084899547,0.0,0.0
MK1,0.0007928792757761711,0.0,0.0,0.0,0.0,0.0010260263066416981,0.005589760207388205,0.0,0.0
MV1,0.0005194726289568018,0.010250972074938141,0.0,0.007875153529369265,0.012712946584814462,0.01870956166810572,0.012718729747245625,0.0,0.0
MW1,0.24407315146728234,0.00989749027925062,0.9689027967924897,0.010692869012354599,0.11260984307456559,0.08277172877022618,0.002268308489954634,0.5205049188100036,0.7711342568283579
MW2,0.03661522571237621,0.0,0.08503813807940544,0.0011773929843433492,0.029526385985489838,0.018176925060832707,0.0,0.02567065702658923,0.008105244064269143
MW3,0.008989002977094599,0.0,0.008664189321337766,0.0002595616351847838,0.0057274472895127645,0.004317159869475997,0.0,0.004128639721860061,3.818725118619149e-05
MW4,0.000531624035482107,0.0,0.0,1.3379465731174423e-05,0.00012296748928763987,0.0,0.0,9.877128521196317e-06,0.0
MW5,1.2151406525305304e-05,0.0,0.0,0.0,9.45903763751076e-06,0.0,0.0,0.0,0.0
OC1,0.13408469530348138,0.205137268763992,0.10166242910228829,0.2293079872734522,0.18175540820476924,0.21292008208210453,0.1109850939727803,0.08601991229109873,0.21551929888206822
OD1,0.07150191384652774,0.0,0.0,0.0,0.04661413747765302,0.1043967750255105,0.0,0.00614357394018411,0.0
OE1,0.02421775320493347,0.053611405679274186,0.0,0.0,0.0008655019438322346,0.03275995469785488,0.1722294232015554,0.0,0.0
OE2,0.02421775320493347,0.053611405679274186,0.0,0.0,0.0008655019438322346,0.03275995469785488,0.1722294232015554,0.0,0.0
OE3,0.024156996172306943,0.0,0.0,0.0,0.0,0.03267585418091703,0.16971808165910565,0.0,0.0
QUALITY_CONTROL.1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
REM,0.8965034327723433,0.9809119830328739,0.9689419127713671,0.9935591251970126,0.9875187998373045,0.9999943932988709,0.9999189889825016,0.5827011971079767,1.0
REPORT_TYPE.1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
RH1,0.017555744577434838,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RH2,0.017555744577434838,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RH3,0.017555744577434838,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SA1,1.518925815663163e-05,0.0,3.911597887737141e-05,0.0,0.0,0.0,0.0,3.950851408478527e-05,0.00011456175355857447
SLP,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
SOURCE.1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
TMP,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
UA1,1.2151406525305304e-05,0.0,3.911597887737141e-05,0.0,0.0,0.0,0.0,2.9631385563588955e-05,0.00011456175355857447
UG1,1.518925815663163e-05,0.0,3.911597887737141e-05,0.0,0.0,0.0,0.0,3.950851408478527e-05,0.00011456175355857447
VIS,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
WA1,0.0001518925815663163,0.0,0.0,0.0,0.0,0.002394061382163962,0.0,0.0,0.0
WND,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
